Symbol,1W Change %,1M Change %,3M Change %,6M Change %,1Y Change %,5Y Change %,Name,Category
FTPAX,,,,,11.53,11.21,First Trust Private Assets Fund,MF Gainers
0P0001UN1A,,13.5,-0.94,-1.34,-1.34,-1.34,--,MF Gainers
0P0001A9KH,,16.58,2.62,-4.2,5.24,-9.06,Pentaris Bares US Equity F USD Dis,MF Gainers
0P0000A413,,11.75,0.54,-6.26,-2.23,63.89,Pembroke American Growth Inc,MF Gainers
0P0001J4GT,,11.25,-3.88,-2.24,5.07,25.45,EMC Asset Management EMC US Eq P Acc,MF Gainers
0P000029DW,,11.76,10.78,18.59,26.73,44.0,Orbis SICAV Em Mkt Eq Inv,MF Gainers
0P0001MIF5,,15.47,-4.23,-1.13,15.84,38.21,BMO U.S. All Cap Equity Ser F USD,MF Gainers
0P0000YZV8,,8.06,-6.91,-2.48,3.36,44.09,Dominicé US Equities Plus A,MF Gainers
0P00017BEX,,12.29,-5.33,-1.76,8.08,27.54,Planetarium American Selection B USD,MF Gainers
0P0000N3QI,,12.24,-5.48,-2.1,7.29,24.38,Planetarium American Selection A USD,MF Gainers
0P000021JE,,2.21,9.95,1.62,2.69,33.65,Horizon Access India Classic Cap,MF Gainers
0P00001RUJ,,2.21,8.87,0.61,1.63,28.16,Horizon Access India Classic Dis,MF Gainers
0P0001Q4ZF,,10.91,-2.53,-2.09,7.13,22.82,Z22 SICAV - Z22 Smart Equity Fund USD I,MF Gainers
0P0001Q4ZG,,10.87,-2.75,-2.55,6.09,20.71,Z22 SICAV - Z22 Smart Equity Fund USD R,MF Gainers
PSIJX,1.02,18.28,-6.24,-6.39,2.92,44.76,Principal SmallCap Growth I J,MF Gainers
PSSIX,0.37,15.02,-7.26,-9.26,0.22,88.65,Principal SmallCap S&P 600 Index Inst,MF Gainers
PSSJX,0.41,15.06,-7.3,-9.3,0.09,86.95,Principal SmallCap S&P 600 Index J,MF Gainers
PPVIX,0.0,13.51,-7.46,-9.15,-2.9,112.43,Principal SmallCap Value II Instl,MF Gainers
PPIMX,0.77,18.65,-4.01,-1.23,4.72,56.34,Principal MidCap Growth III Inst,MF Gainers
PPQJX,0.85,18.6,-4.03,-1.4,4.38,53.7,Principal MidCap Growth III J,MF Gainers
PSBJX,0.51,15.99,-6.5,-6.0,0.51,73.83,Principal SmallCap J,MF Gainers
0P0001T4DP,3.4,2.72,1.11,0.95,4.3,4.3,BMO Low Volatility US Eq ETF Fd F,MF Gainers
0P0001T4DO,3.39,0.88,0.86,0.83,3.85,3.85,--,MF Gainers
